index,negotiation_arrangement,name,billing_code_type,billing_code_type_version,billing_code,description,bundled_codes_billing_code_type,bundled_codes_billing_code_type_version,bundled_codes_billing_code,bundled_codes_description,covered_services_billing_code_type,covered_services_billing_code_type_version,covered_services_billing_code,covered_services_description,negotiated_rates_provider_groups_npi,negotiated_rates_provider_groups_tin_type,negotiated_rates_provider_groups_tin_value,negotiated_rates_negotiated_prices_negotiated_type,negotiated_rates_negotiated_prices_negotiated_rate,negotiated_rates_negotiated_prices_expiration_date,negotiated_rates_negotiated_prices_service_code,negotiated_rates_negotiated_prices_billing_class 
844474,ffs,INS INTRVAS VC FILTR W/WO VAS ACS VSL SELXN RS&I,CPT,2022,37619,INS INTRVAS VC FILTR W/WO VAS ACS VSL SELXN RS&I,,,,,,,,,1043509151,ein,04-3194547,fee schedule,2392.02,12/31/9999,11,professional
851219,ffs,"THORACIC LYMPHADENECTOMY, THORACOTOMY, MEDIASTINAL AND REG LYM",CPT,2022,38792,"THORACIC LYMPHADENECTOMY, THORACOTOMY, MEDIASTINAL AND REG LYM",,,,,,,,,1831678325,ein,32-0058309,fee schedule,109.38,12/31/9999,11,professional
867464,ffs,INCISION OF LINGUAL FRENUM (FRENOTOMY),CPT,2022,41010,INCISION OF LINGUAL FRENUM (FRENOTOMY),,,,,,,,,1386676815,ein,43-1987409,fee schedule,1415.92,12/31/9999,11,professional
863214,ffs,EXCISION LESION OF FLOOR OF MOUTH,CPT,2022,41116,EXCISION LESION OF FLOOR OF MOUTH,,,,,,,,,1487635603,ein,04-2911067,fee schedule,808.74,12/31/9999,11,professional
897413,ffs,"ESOPHAGOSCOPY, FLEX, TRANSORAL; W/RMVL OF TUMOR(S), POLYP(S),",CPT,2022,43216,"ESOPHAGOSCOPY, FLEX, TRANSORAL; W/RMVL OF TUMOR(S), POLYP(S),",,,,,,,,,1477788701,ein,04-2911067,fee schedule,1035.38,12/31/9999,11,professional
897874,ffs,"ESOPHAGOSCOPY, FLEX, TRANSORAL; W/RMVL OF TUMOR(S), POLYP(S),",CPT,2022,43217,"ESOPHAGOSCOPY, FLEX, TRANSORAL; W/RMVL OF TUMOR(S), POLYP(S),",,,,,,,,,1912913039,ein,84-2295609,fee schedule,825.54,12/31/9999,11,professional
909580,ffs,"ESOPHAGOGASTRODUODENOSCOPY, FLEX, TRANSORAL; W/TRANSENDOSCOPIC",CPT,2022,43238,"ESOPHAGOGASTRODUODENOSCOPY, FLEX, TRANSORAL; W/TRANSENDOSCOPIC",,,,,,,,,1649474644,ein,04-2911067,fee schedule,513.51,12/31/9999,11,professional
909643,ffs,"ESOPHAGOGASTRODUODENOSCOPY, FLEX, TRANSORAL; W/TRANSENDOSCOPIC",CPT,2022,43242,"ESOPHAGOGASTRODUODENOSCOPY, FLEX, TRANSORAL; W/TRANSENDOSCOPIC",,,,,,,,,1811506439,npi,1811506439,fee schedule,261.14,12/31/9999,11,professional
910022,ffs,"ESOPHAGOGASTRODUODENOSCOPY, FLEX, TRANSORAL; W/TRANSENDOSCOPIC",CPT,2022,43249,"ESOPHAGOGASTRODUODENOSCOPY, FLEX, TRANSORAL; W/TRANSENDOSCOPIC",,,,,,,,,1851407787,ein,87-3928715,fee schedule,2213.18,12/31/9999,11,professional
914097,ffs,GASTRIC TUBE DX PLMT W/ASPIR MULT SPECIMENS,CPT,2022,43754,GASTRIC TUBE DX PLMT W/ASPIR MULT SPECIMENS,,,,,,,,,1285622506,ein,04-3435859,fee schedule,304.29,12/31/9999,11,professional
914499,ffs,GASTRIC TUBE DX PLMT W/ASPIR MULT SPECIMENS,CPT,2022,43755,GASTRIC TUBE DX PLMT W/ASPIR MULT SPECIMENS,,,,,,,,,1457323354,ein,82-2563211,fee schedule,417.31,12/31/9999,11,professional
924038,ffs,"LAPAROSCOPY, SURGICAL; COLECTOMY, ETC",CPT,2022,44206,"LAPAROSCOPY, SURGICAL; COLECTOMY, ETC",,,,,,,,,1922459973,npi,1922459973,fee schedule,2035.58,12/31/9999,11,professional
924213,ffs,"LAPAROSCOPY, SURGICAL; COLECTOMY, ETC",CPT,2022,44207,"LAPAROSCOPY, SURGICAL; COLECTOMY, ETC",,,,,,,,,1336414531,ein,04-2774441,fee schedule,10000,12/31/9999,11,professional
924656,ffs,"LAPAROSCOPY, SURGICAL; COLECTOMY, ETC",CPT,2022,44208,"LAPAROSCOPY, SURGICAL; COLECTOMY, ETC",,,,,,,,,1851356513,ein,38-3711424,fee schedule,3564.73,12/31/9999,11,professional
924875,ffs,"LAPAROSCOPY, SURGICAL; COLECTOMY, ETC",CPT,2022,44210,"LAPAROSCOPY, SURGICAL; COLECTOMY, ETC",,,,,,,,,1780979443,ein,04-3265008,fee schedule,2670.95,12/31/9999,11,professional
925126,ffs,"LAPAROSCOPY, SURGICAL; COLECTOMY, ETC",CPT,2022,44212,"LAPAROSCOPY, SURGICAL; COLECTOMY, ETC",,,,,,,,,1669457735,ein,04-2698497,fee schedule,2755.52,12/31/9999,11,professional
923538,ffs,LAPAROSCOPY SURGICAL GASTRIC,CPT,2022,44213,LAPAROSCOPY SURGICAL GASTRIC,,,,,,,,,1013008143,ein,04-2704683,fee schedule,320.48,12/31/9999,11,professional
927617,ffs,"REVISION COLOSTOMY;COMPLICATED,RECONSTRUCTION IN DEPTH",CPT,2022,44346,"REVISION COLOSTOMY;COMPLICATED,RECONSTRUCTION IN DEPTH",,,,,,,,,1093808214,ein,22-2768204,fee schedule,2115.05,12/31/9999,11,professional
929590,ffs,"SMALL INTEST ENDO, ENTEROSCOPY BEYOND 2ND PORTION OF DUODENUM,",CPT,2022,44360,"SMALL INTEST ENDO, ENTEROSCOPY BEYOND 2ND PORTION OF DUODENUM,",,,,,,,,,1447274667,ein,04-3178219,fee schedule,249.12,12/31/9999,11,professional
929800,ffs,"SMALL INTEST ENDO, ENTEROSCOPY BEYOND 2ND PORTION OF DUODENUM,",CPT,2022,44363,"SMALL INTEST ENDO, ENTEROSCOPY BEYOND 2ND PORTION OF DUODENUM,",,,,,,,,,1144407412,npi,1144407412,fee schedule,224.32,12/31/9999,11,professional
931387,ffs,SMALL INTESTINE ENDOSCOPY,CPT,2022,44370,SMALL INTESTINE ENDOSCOPY,,,,,,,,,1225149107,ein,04-2807148,fee schedule,654.85,12/31/9999,11,professional
931545,ffs,SMALL INTESTINE ENDOSCOPY,CPT,2022,44379,SMALL INTESTINE ENDOSCOPY,,,,,,,,,1528682937,ein,04-2492730,fee schedule,487.51,12/31/9999,11,professional
955758,ffs,"HEMORRHOIDECTOMY, INTERNAL, BY RUBBER BAND LIGATION(S)",CPT,2022,46221,"HEMORRHOIDECTOMY, INTERNAL, BY RUBBER BAND LIGATION(S)",,,,,,,,,1386676815,ein,43-1987409,fee schedule,1816.32,12/31/9999,11,professional
964854,ffs,"BIOPSY OF LIVER, NEEDLE, PERCUTANEOUS",CPT,2022,47000,"BIOPSY OF LIVER, NEEDLE, PERCUTANEOUS",,,,,,,,,1922651157,npi,1922651157,fee schedule,324.94,12/31/9999,11,professional
965168,ffs,"BIOPSY OF LIVER, NEEDLE, PERCUTANEOUS",CPT,2022,47001,"BIOPSY OF LIVER, NEEDLE, PERCUTANEOUS",,,,,,,,,1861470338,ein,04-3205435,fee schedule,128.52,12/31/9999,11,professional
969313,ffs,"LAPAROSCOPY, SURGICAL, ABLATION OF ONE OR MORE LIVER TUMOR(S)",CPT,2022,47370,"LAPAROSCOPY, SURGICAL, ABLATION OF ONE OR MORE LIVER TUMOR(S)",,,,,,,,,1841766433,ein,83-2009012,fee schedule,1468.45,12/31/9999,11,professional
969582,ffs,"LAPAROSCOPY, SURGICAL, ABLATION OF ONE OR MORE LIVER TUMOR(S)",CPT,2022,47371,"LAPAROSCOPY, SURGICAL, ABLATION OF ONE OR MORE LIVER TUMOR(S)",,,,,,,,,1649378449,npi,1649378449,fee schedule,1480.38,12/31/9999,11,professional
987055,ffs,"PERITONEAL-VENOUS SHUNT (E.G.,LEVEEN SHUNT)",CPT,2022,49425,"PERITONEAL-VENOUS SHUNT (E.G.,LEVEEN SHUNT)",,,,,,,,,1528144995,ein,27-2777455,fee schedule,1271.47,12/31/9999,11,professional
987323,ffs,"PERITONEAL-VENOUS SHUNT (E.G.,LEVEEN SHUNT)",CPT,2022,49426,"PERITONEAL-VENOUS SHUNT (E.G.,LEVEEN SHUNT)",,,,,,,,,1609808138,ein,27-2777455,fee schedule,1232.66,12/31/9999,11,professional
992175,ffs,BACKBENCH STANDARD PREPARATION OF CADAVER DONOR RENAL ALLOGRFT,CPT,2022,50325,BACKBENCH STANDARD PREPARATION OF CADAVER DONOR RENAL ALLOGRFT,,,,,,,,,1164489647,ein,82-3337110,fee schedule,237.84,12/31/9999,11,professional
1009471,ffs,REVISION OF URINARY-CUTANEOUS ANASTOMOSIS(ANY TYPE UROSTOMY),CPT,2022,50727,REVISION OF URINARY-CUTANEOUS ANASTOMOSIS(ANY TYPE UROSTOMY),,,,,,,,,1710946462,ein,04-3111240,fee schedule,1116.34,12/31/9999,11,professional
1009872,ffs,REVISION OF URINARY-CUTANEOUS ANASTOMOSIS(ANY TYPE UROSTOMY),CPT,2022,50728,REVISION OF URINARY-CUTANEOUS ANASTOMOSIS(ANY TYPE UROSTOMY),,,,,,,,,1861802274,ein,04-3354353,fee schedule,1109.04,12/31/9999,11,professional
1016761,ffs,"LAPAROSCOPY, SURGICAL;URETERONEOCYSTOSTOMY, ETC.",CPT,2022,50947,"LAPAROSCOPY, SURGICAL;URETERONEOCYSTOSTOMY, ETC.",,,,,,,,,1336183672,npi,1336183672,fee schedule,1603.86,12/31/9999,11,professional
1017223,ffs,"LAPAROSCOPY, SURGICAL;URETERONEOCYSTOSTOMY, ETC.",CPT,2022,50948,"LAPAROSCOPY, SURGICAL;URETERONEOCYSTOSTOMY, ETC.",,,,,,,,,1477743870,ein,04-3397450,fee schedule,2538.77,12/31/9999,11,professional
1046305,ffs,EXCISION OF PENILE PLACQUE (PEYRONIE DISEASE);,CPT,2022,54110,EXCISION OF PENILE PLACQUE (PEYRONIE DISEASE);,,,,,,,,,1770540346,npi,1770540346,fee schedule,735.45,12/31/9999,11,professional
1054180,ffs,EXCISION OF PENILE PLACQUE (PEYRONIE DISEASE);,CPT,2022,54162,EXCISION OF PENILE PLACQUE (PEYRONIE DISEASE);,,,,,,,,,1952398174,ein,81-1186412,fee schedule,479.45,12/31/9999,11,professional
1083651,ffs,"COLPOSCOPY OF THE CERVIX,ETC",CPT,2022,57455,"COLPOSCOPY OF THE CERVIX,ETC",,,,,,,,,1366004335,ein,32-0367841,fee schedule,308.14,12/31/9999,11,professional
1083761,ffs,"COLPOSCOPY OF THE CERVIX,ETC",CPT,2022,57456,"COLPOSCOPY OF THE CERVIX,ETC",,,,,,,,,1023103405,ein,04-2762025,fee schedule,186.95,12/31/9999,11,professional
1084073,ffs,"COLPOSCOPY OF THE CERVIX,ETC",CPT,2022,57461,"COLPOSCOPY OF THE CERVIX,ETC",,,,,,,,,1093254401,ein,04-3211342,fee schedule,446.65,12/31/9999,11,professional
1101288,ffs,"VAGINAL HYSTERECTOMY;WITH REMOVAL OF TUBE(S),AND/OR OVARY(S)",CPT,2022,58263,"VAGINAL HYSTERECTOMY;WITH REMOVAL OF TUBE(S),AND/OR OVARY(S)",,,,,,,,,1891777405,ein,04-2472266,fee schedule,1902.59,12/31/9999,11,professional
1096085,ffs,"LAPAROSCOPY, SURGICAL, SUPRACERVICAL HYSTERECTOMY, FOR UTER GR",CPT,2022,58543,"LAPAROSCOPY, SURGICAL, SUPRACERVICAL HYSTERECTOMY, FOR UTER GR",,,,,,,,,1134386014,npi,1134386014,fee schedule,1001.04,12/31/9999,11,professional
1096528,ffs,"LAPAROSCOPY, SURGICAL, SUPRACERVICAL HYSTERECTOMY, FOR UTER GR",CPT,2022,58544,"LAPAROSCOPY, SURGICAL, SUPRACERVICAL HYSTERECTOMY, FOR UTER GR",,,,,,,,,1043269483,npi,1043269483,fee schedule,912.51,12/31/9999,11,professional
1096652,ffs,"LAPAROSCOPY,SURGICAL, ETC.",CPT,2022,58545,"LAPAROSCOPY,SURGICAL, ETC.",,,,,,,,,1154954238,ein,27-2777455,fee schedule,1401.62,12/31/9999,11,professional
1096918,ffs,"LAPAROSCOPY,SURGICAL, ETC.",CPT,2022,58546,"LAPAROSCOPY,SURGICAL, ETC.",,,,,,,,,1255520151,npi,1255520151,fee schedule,1311.89,12/31/9999,11,professional
1097190,ffs,"LAPAROSCOPY,SURGICAL, ETC.",CPT,2022,58552,"LAPAROSCOPY,SURGICAL, ETC.",,,,,,,,,1235544362,ein,04-3170333,fee schedule,1459.13,12/31/9999,11,professional
1097411,ffs,"LAPAROSCOPY,SURGICAL, ETC.",CPT,2022,58553,"LAPAROSCOPY,SURGICAL, ETC.",,,,,,,,,1962979385,npi,1962979385,fee schedule,1121.09,12/31/9999,11,professional
1097736,ffs,"LAPAROSCOPY,SURGICAL, ETC.",CPT,2022,58554,"LAPAROSCOPY,SURGICAL, ETC.",,,,,,,,,1518994086,ein,04-3265008,fee schedule,1980.88,12/31/9999,11,professional
1104139,ffs,"FOLLICLE PUNCTURE FOR OOCYTERETRIEVAL, ANY METHOD",CPT,2022,58970,"FOLLICLE PUNCTURE FOR OOCYTERETRIEVAL, ANY METHOD",,,,,,,,,1760643522,npi,1871988139,fee schedule,551.54,12/31/9999,11,professional
1153295,ffs,"INJ, ANEST AGNT AND/OR STEROID, TRANFORAMINAL EPID, W/IMAGING",CPT,2022,64479,"INJ, ANEST AGNT AND/OR STEROID, TRANFORAMINAL EPID, W/IMAGING",,,,,,,,,1770547879,ein,04-3306782,fee schedule,510.55,12/31/9999,11,professional
1169947,ffs,RADIOFREQUENCY ABLTJ NRV NRVTG SI JT W/IMG GDN,CPT,2022,64625,RADIOFREQUENCY ABLTJ NRV NRVTG SI JT W/IMG GDN,,,,,,,,,1760643522,npi,1871988139,fee schedule,1157.69,12/31/9999,11,professional
1203231,ffs,DESTRUCTION OF LOCALIZED LESION OF CHOROID,CPT,2022,67220,DESTRUCTION OF LOCALIZED LESION OF CHOROID,,,,,,,,,1265508196,npi,1265508196,fee schedule,545.6,12/31/9999,11,professional
1203461,ffs,DESTRUCTION OF LOCALIZED LESION OF CHOROID,CPT,2022,67221,DESTRUCTION OF LOCALIZED LESION OF CHOROID,,,,,,,,,1598719056,npi,1598719056,fee schedule,329.16,12/31/9999,11,professional
1211607,ffs,ASSIST,CPT,2022,67550,ASSIST,,,,,,,,,1255719597,ein,84-3477628,fee schedule,2047.11,12/31/9999,11,professional
1241620,ffs,ASSIST,CPT,2022,69300,ASSIST,,,,,,,,,1487601431,ein,05-0474219,fee schedule,689.22,12/31/9999,11,professional
1276037,ffs,"COMPUTER AXIAL TOMOGRAPHY, MAXILLOFACIAL AREA; W/O CONTRAST",CPT,2022,70486,"COMPUTER AXIAL TOMOGRAPHY, MAXILLOFACIAL AREA; W/O CONTRAST",,,,,,,,,1639730278,ein,83-4683985,fee schedule,376.8,12/31/9999,11,professional
1275336,ffs,"COMPUTER AXIAL TOMOGRAPHY, MAXILLOFACIAL AREA; W CONTRAST",CPT,2022,70487,"COMPUTER AXIAL TOMOGRAPHY, MAXILLOFACIAL AREA; W CONTRAST",,,,,,,,,1053406157,ein,04-2704683,fee schedule,669.27,12/31/9999,11,professional
1276587,ffs,"COMPUTER AXIAL TOMOGRAPHY, MAXILLOFACIAL AREA; W/O CONTRAST",CPT,2022,70488,"COMPUTER AXIAL TOMOGRAPHY, MAXILLOFACIAL AREA; W/O CONTRAST",,,,,,,,,1922669357,ein,04-3211342,fee schedule,285.72,12/31/9999,11,professional
1284510,ffs,"MAGNETIC RESONANCE ANGIOGRAPHY, HEAD AND/OR NECK, W/ W/O CONTR",CPT,2022,70542,"MAGNETIC RESONANCE ANGIOGRAPHY, HEAD AND/OR NECK, W/ W/O CONTR",,,,,,,,,1811987837,ein,04-3170333,fee schedule,1003.51,12/31/9999,11,professional
1285693,ffs,"MAGNETIC RESONANCE ANGIOGRAPHY, HEAD AND/OR NECK, W/ W/O CONTR",CPT,2022,70543,"MAGNETIC RESONANCE ANGIOGRAPHY, HEAD AND/OR NECK, W/ W/O CONTR",,,,,,,,,1528446192,ein,04-2807148,fee schedule,2069.55,12/31/9999,11,professional
1286243,ffs,"MAGNETIC RESONANCE ANGIOGRAPHY, HEAD AND/OR NECK, W/ W/O CONTR",CPT,2022,70544,"MAGNETIC RESONANCE ANGIOGRAPHY, HEAD AND/OR NECK, W/ W/O CONTR",,,,,,,,,1699220889,ein,04-2774441,fee schedule,1914.1,12/31/9999,11,professional
1287104,ffs,"MAGNETIC RESONANCE ANGIOGRAPHY, HEAD AND/OR NECK, W/ W/O CONTR",CPT,2022,70545,"MAGNETIC RESONANCE ANGIOGRAPHY, HEAD AND/OR NECK, W/ W/O CONTR",,,,,,,,,1386761039,ein,04-3317992,fee schedule,1355.19,12/31/9999,11,professional
1287835,ffs,"MAGNETIC RESONANCE ANGIOGRAPHY, HEAD AND/OR NECK, W/ W/O CONTR",CPT,2022,70546,"MAGNETIC RESONANCE ANGIOGRAPHY, HEAD AND/OR NECK, W/ W/O CONTR",,,,,,,,,1609938869,ein,04-2103881,fee schedule,1446.15,12/31/9999,11,professional
1289033,ffs,"MAGNETIC RESONANCE ANGIOGRAPHY, HEAD AND/OR NECK, W/ W/O CONTR",CPT,2022,70547,"MAGNETIC RESONANCE ANGIOGRAPHY, HEAD AND/OR NECK, W/ W/O CONTR",,,,,,,,,1316387939,ein,04-2995053,fee schedule,717.66,12/31/9999,11,professional
1289480,ffs,"MAGNETIC RESONANCE ANGIOGRAPHY, HEAD AND/OR NECK, W/ W/O CONTR",CPT,2022,70548,"MAGNETIC RESONANCE ANGIOGRAPHY, HEAD AND/OR NECK, W/ W/O CONTR",,,,,,,,,1215982947,ein,04-2743894,fee schedule,1360.64,12/31/9999,11,professional
1290559,ffs,"MAGNETIC RESONANCE ANGIOGRAPHY, HEAD AND/OR NECK, W/ W/O CONTR",CPT,2022,70549,"MAGNETIC RESONANCE ANGIOGRAPHY, HEAD AND/OR NECK, W/ W/O CONTR",,,,,,,,,1306883715,npi,1306883715,fee schedule,715.82,12/31/9999,11,professional
1282047,ffs,"MAGNETIC RESONANCE (E.G. PROTON) IMAGING,BRAIN (INCL STEM)",CPT,2022,70551,"MAGNETIC RESONANCE (E.G. PROTON) IMAGING,BRAIN (INCL STEM)",,,,,,,,,1659338606,ein,04-3397450,fee schedule,1086.97,12/31/9999,11,professional
1284239,ffs,"MAGNETIC RESONANCE (EG, PROTON) IMAGING; BRAIN STEM",CPT,2022,70552,"MAGNETIC RESONANCE (EG, PROTON) IMAGING; BRAIN STEM",,,,,,,,,1841608213,npi,1841608213,fee schedule,685.76,12/31/9999,11,professional
1283173,ffs,"MAGNETIC RESONANCE (EG, PROTON) IMAGING; BRAIN STEM W/O CONTRA",CPT,2022,70553,"MAGNETIC RESONANCE (EG, PROTON) IMAGING; BRAIN STEM W/O CONTRA",,,,,,,,,1326465279,ein,04-3397450,fee schedule,1710.73,12/31/9999,11,professional
1291757,ffs,"MAGNETIC RESONANCE (E.G. PROTON) IMAGING,BRAIN (INCL STEM)",CPT,2022,70554,"MAGNETIC RESONANCE (E.G. PROTON) IMAGING,BRAIN (INCL STEM)",,,,,,,,,1184296089,ein,04-2103881,fee schedule,1104.47,12/31/9999,11,professional
1292626,ffs,"MAGNETIC RESONANCE (E.G. PROTON) IMAGING,BRAIN (INCL STEM)",CPT,2022,70555,"MAGNETIC RESONANCE (E.G. PROTON) IMAGING,BRAIN (INCL STEM)",,,,,,,,,1770734501,ein,04-2807148,fee schedule,1285.63,12/31/9999,11,professional
1293207,ffs,"MAGNETIC RESONANCE (E.G. PROTON) IMAGING,BRAIN (INCL STEM)",CPT,2022,70557,"MAGNETIC RESONANCE (E.G. PROTON) IMAGING,BRAIN (INCL STEM)",,,,,,,,,1518503077,npi,1518503077,fee schedule,535.97,12/31/9999,11,professional
1293760,ffs,"MAGNETIC RESONANCE (EG, PROTON) IMAGING; BRAIN STEM",CPT,2022,70558,"MAGNETIC RESONANCE (EG, PROTON) IMAGING; BRAIN STEM",,,,,,,,,1609899491,npi,1609899491,fee schedule,735.51,12/31/9999,11,professional
1293413,ffs,"MAGNETIC RESONANCE (EG, PROTON) IMAGING; BRAIN STEM W/O CONTRA",CPT,2022,70559,"MAGNETIC RESONANCE (EG, PROTON) IMAGING; BRAIN STEM W/O CONTRA",,,,,,,,,1558767269,npi,1558767269,fee schedule,715.64,12/31/9999,11,professional
1306826,ffs,"MAGNETIC RESONANCE, CHEST",CPT,2022,71551,"MAGNETIC RESONANCE, CHEST",,,,,,,,,1386676815,ein,43-1987409,fee schedule,4013.21,12/31/9999,11,professional
1317072,ffs,"RADIOLOGIC EXAM, SPINE; THORACIC, ANTEROPOSTERIOR/LATERAL",CPT,2022,72070,"RADIOLOGIC EXAM, SPINE; THORACIC, ANTEROPOSTERIOR/LATERAL",,,,,,,,,1164636742,npi,1164636742,fee schedule,35.74,12/31/9999,11,professional
1318280,ffs,"RADIOLOGIC EXAM, SPINE; THORACIC, ANTEROPOSTERIOR/LATERAL",CPT,2022,72072,"RADIOLOGIC EXAM, SPINE; THORACIC, ANTEROPOSTERIOR/LATERAL",,,,,,,,,1265641583,ein,04-2888373,fee schedule,52.47,12/31/9999,11,professional
1318738,ffs,"RADIOLOGIC EXAM, SPINE; THORACIC, COMPLETE, INCLUD OBLIQUE",CPT,2022,72074,"RADIOLOGIC EXAM, SPINE; THORACIC, COMPLETE, INCLUD OBLIQUE",,,,,,,,,1760643522,npi,1871988139,fee schedule,108.49,12/31/9999,11,professional
1338241,ffs,"MRI,SPINAL CANAL AND CONTENTS, THORACIC;W/O CONTRAST MATERIAL",CPT,2022,72146,"MRI,SPINAL CANAL AND CONTENTS, THORACIC;W/O CONTRAST MATERIAL",,,,,,,,,1750020392,npi,1750020392,fee schedule,536.85,12/31/9999,11,professional
1336330,ffs,"MRI,SPINAL CANAL & CONTENTS;LUMBAR;W/O CONTRAST MATERIAL",CPT,2022,72148,"MRI,SPINAL CANAL & CONTENTS;LUMBAR;W/O CONTRAST MATERIAL",,,,,,,,,1396726543,ein,22-2560501,fee schedule,1165.72,12/31/9999,11,professional
1338674,ffs,"MRI,SPINAL CANAL AND CONTENTS, THORACIC;W/O CONTRAST MATERIAL",CPT,2022,72157,"MRI,SPINAL CANAL AND CONTENTS, THORACIC;W/O CONTRAST MATERIAL",,,,,,,,,1215126479,ein,81-1807730,fee schedule,1310.29,12/31/9999,11,professional
1337286,ffs,"MRI,SPINAL CANAL & CONTENTS;LUMBAR;W/O CONTRAST MATERIAL",CPT,2022,72158,"MRI,SPINAL CANAL & CONTENTS;LUMBAR;W/O CONTRAST MATERIAL",,,,,,,,,1043650641,ein,84-4840079,fee schedule,1531.06,12/31/9999,11,professional
1344093,ffs,"MAGNETIC RESONANCE(EG,PROTON)IN=MAGING,PELVIS",CPT,2022,72195,"MAGNETIC RESONANCE(EG,PROTON)IN=MAGING,PELVIS",,,,,,,,,1073509741,ein,04-3137333,fee schedule,813.13,12/31/9999,11,professional
1344273,ffs,"MAGNETIC RESONANCE(EG,PROTON)IN=MAGING,PELVIS",CPT,2022,72195,"MAGNETIC RESONANCE(EG,PROTON)IN=MAGING,PELVIS",,,,,,,,,1811075211,ein,04-2104691,percentage,69.35,12/31/9999,22,institutional
1344600,ffs,"MAGNETIC RESONANCE(EG,PROTON)IN=MAGING,PELVIS",CPT,2022,72196,"MAGNETIC RESONANCE(EG,PROTON)IN=MAGING,PELVIS",,,,,,,,,1700028826,ein,04-2911067,fee schedule,1521.42,12/31/9999,11,professional
1345642,ffs,"MAGNETIC RESONANCE(EG,PROTON)IN=MAGING,PELVIS",CPT,2022,72197,"MAGNETIC RESONANCE(EG,PROTON)IN=MAGING,PELVIS",,,,,,,,,1447303342,npi,1447303342,fee schedule,840.57,12/31/9999,11,professional
1350898,ffs,XX,CPT,2022,72198,XX,,,,,,,,,1639603558,ein,32-0058309,fee schedule,1226.8,12/31/9999,11,professional
1351091,ffs,XX,CPT,2022,72198,XX,,,,,,,,,1558351866,ein,04-2807148,fee schedule,1690.24,12/31/9999,11,professional
1350899,ffs,XX,CPT,2022,72198,XX,,,,,,,,,1649246505,ein,32-0058309,fee schedule,1226.8,12/31/9999,11,professional
1351195,ffs,XX,CPT,2022,72198,XX,,,,,,,,,1154388528,ein,43-1987409,fee schedule,4018.35,12/31/9999,11,professional
1351435,ffs,XX,CPT,2022,72198,XX,,,,,,,,,1205065943,npi,1205065943,fee schedule,822.02,12/31/9999,11,professional
1351545,ffs,XX,CPT,2022,72198,XX,,,,,,,,,1578584314,ein,04-2104691,percentage,70.33,12/31/9999,11,professional
1351340,ffs,XX,CPT,2022,72198,XX,,,,,,,,,1457733917,ein,47-3482703,fee schedule,804.99,12/31/9999,11,professional
1351231,ffs,XX,CPT,2022,72198,XX,,,,,,,,,1225554710,npi,1225554710,fee schedule,684.24,12/31/9999,11,professional
1351528,ffs,XX,CPT,2022,72198,XX,,,,,,,,,1033171749,ein,04-3038356,fee schedule,887.9,12/31/9999,11,professional
1351337,ffs,XX,CPT,2022,72198,XX,,,,,,,,,1053406157,ein,43-1987409,fee schedule,804.99,12/31/9999,11,professional
1351212,ffs,XX,CPT,2022,72198,XX,,,,,,,,,1770075848,ein,33-1136942,fee schedule,684.24,12/31/9999,11,professional
1351098,ffs,XX,CPT,2022,72198,XX,,,,,,,,,1851601264,ein,04-2807148,fee schedule,1690.24,12/31/9999,11,professional
1351312,ffs,XX,CPT,2022,72198,XX,,,,,,,,,1750676433,ein,04-2807148,fee schedule,804.99,12/31/9999,11,professional
1351318,ffs,XX,CPT,2022,72198,XX,,,,,,,,,1649246505,ein,04-3104075,fee schedule,804.99,12/31/9999,11,professional
1351338,ffs,XX,CPT,2022,72198,XX,,,,,,,,,1588088280,ein,46-0787784,fee schedule,804.99,12/31/9999,11,professional
1350943,ffs,XX,CPT,2022,72198,XX,,,,,,,,,1629475298,ein,04-3260427,fee schedule,1261.98,12/31/9999,11,professional
1351242,ffs,XX,CPT,2022,72198,XX,,,,,,,,,1598174120,npi,1598174120,fee schedule,684.24,12/31/9999,11,professional
1351248,ffs,XX,CPT,2022,72198,XX,,,,,,,,,1669446266,npi,1669446266,fee schedule,684.24,12/31/9999,11,professional
1350727,ffs,XX,CPT,2022,72198,XX,,,,,,,,,1376775130,ein,04-3170333,fee schedule,1013.48,12/31/9999,11,professional
1351277,ffs,XX,CPT,2022,72198,XX,,,,,,,,,1154994440,npi,1154994440,fee schedule,698.72,12/31/9999,11,professional
1351356,ffs,XX,CPT,2022,72198,XX,,,,,,,,,1124009592,npi,1124009592,fee schedule,804.99,12/31/9999,11,professional
1351395,ffs,XX,CPT,2022,72198,XX,,,,,,,,,1760933014,ein,04-3370560,fee schedule,821.09,12/31/9999,11,professional
1351497,ffs,XX,CPT,2022,72198,XX,,,,,,,,,1396752051,ein,04-2888373,fee schedule,839.6,12/31/9999,11,professional
1350857,ffs,XX,CPT,2022,72198,XX,,,,,,,,,1790049161,ein,04-2103881,fee schedule,1226.8,12/31/9999,11,professional
1351273,ffs,XX,CPT,2022,72198,XX,,,,,,,,,1053431940,npi,1053431940,fee schedule,698.72,12/31/9999,11,professional
1350956,ffs,XX,CPT,2022,72198,XX,,,,,,,,,1285617910,ein,04-2472266,fee schedule,1300.94,12/31/9999,11,professional
1350883,ffs,XX,CPT,2022,72198,XX,,,,,,,,,1659751584,ein,22-2768204,fee schedule,1226.8,12/31/9999,11,professional
1350998,ffs,XX,CPT,2022,72198,XX,,,,,,,,,1265585202,ein,04-3397450,fee schedule,1385.39,12/31/9999,11,professional
